Trip ID,Pickup Date,Pickup Time,Pickup Location,Dropoff Location,Passenger Count,Total Bookings,Booking Value,Trip Distance,Vehicle,Payment_type
28,2024-06-01 00:00:00,1899-12-30 00:42:11,Kips Bay,Crown Heights North,1,1.0,$33.2,8.18,UberX,Uber Pay
29,2024-06-01 00:00:00,1899-12-30 00:23:24,Kips Bay,Boerum Hill,1,1.0,$23.5,6.54,UberXL,Uber Pay
30,2024-06-01 00:00:00,1899-12-30 00:20:55,Lenox Hill East,East Chelsea,6,1.0,$19.0,3.68,UberXL,Uber Pay
31,2024-06-01 00:00:00,1899-12-30 00:17:36,Murray Hill,Lower East Side,1,1.0,$8.5,1.9,UberX,Cash
32,2024-06-01 00:00:00,1899-12-30 01:08:32,East Harlem South,Central Harlem North,1,1.0,$9.0,2.4,UberXL,Cash
33,2024-06-01 00:00:00,1899-12-30 01:23:40,Manhattan Valley,Marble Hill,1,1.0,$22.5,7.5,UberX,Uber Pay
34,2024-06-01 00:00:00,1899-12-30 01:19:10,Upper West Side North,Manhattanville,1,1.0,$9.5,1.87,Uber Green,Cash
35,2024-06-01 00:00:00,1899-12-30 01:22:30,Garment District,Hamilton Heights,2,1.0,$24.5,7.91,UberXL,Cash
36,2024-06-01 00:00:00,1899-12-30 01:13:35,Midtown Center,East Harlem North,1,1.0,$18.0,5.3,UberX,Uber Pay
37,2024-06-01 00:00:00,1899-12-30 01:32:31,Clinton East,TriBeCa/Civic Center,1,1.0,$16.5,3.4,Uber Black,Cash
38,2024-06-01 00:00:00,1899-12-30 01:25:39,Upper West Side North,East Harlem North,2,1.0,$9.5,2.33,UberX,Cash
39,2024-06-01 00:00:00,1899-12-30 01:08:08,Queensbridge/Ravenswood,Long Island City/Hunters Point,1,1.0,$8.0,1.6,UberX,Cash
40,2024-06-01 00:00:00,1899-12-30 01:05:57,Murray Hill,East Harlem North,1,1.0,$17.0,4.3,UberX,Uber Pay
41,2024-06-01 00:00:00,1899-12-30 01:39:34,Manhattan Valley,Hamilton Heights,1,1.0,$10.0,2.53,Uber Comfort,Cash
42,2024-06-01 00:00:00,1899-12-30 01:13:38,Kips Bay,South Williamsburg,1,1.0,$15.5,4.8,Uber Black,Cash
43,2024-06-01 00:00:00,1899-12-30 01:43:19,West Village,Morningside Heights,1,1.0,$23.5,7.5,UberX,Amazon Pay
44,2024-06-01 00:00:00,1899-12-30 01:40:16,Clinton East,East Village,1,1.0,$13.0,3.43,Uber Green,Cash
45,2024-06-01 00:00:00,1899-12-30 01:14:42,Upper West Side North,Hamilton Heights,1,1.0,$11.0,2.73,Uber Black,Cash
46,2024-06-01 00:00:00,1899-12-30 01:21:41,Murray Hill,East Harlem North,1,1.0,$18.5,4.64,Uber Green,Uber Pay
47,2024-06-01 00:00:00,1899-12-30 01:41:08,Little Italy/NoLiTa,Murray Hill,1,1.0,$10.0,2.61,Uber Comfort,Cash
48,2024-06-01 00:00:00,1899-12-30 01:25:38,East Flatbush/Farragut,Bedford,1,1.0,$14.0,3.84,UberX,Cash
49,2024-06-01 00:00:00,1899-12-30 01:30:37,TriBeCa/Civic Center,TriBeCa/Civic Center,1,1.0,$2.5,3,Uber Comfort,Cash
50,2024-06-01 00:00:00,1899-12-30 01:49:38,East Chelsea,Central Harlem North,1,1.0,$26.6,7.27,Uber Green,Uber Pay
51,2024-06-01 00:00:00,1899-12-30 01:43:51,Jackson Heights,Astoria,1,1.0,$7.0,1.32,Uber Comfort,Cash
52,2024-06-01 00:00:00,1899-12-30 01:16:47,Bloomingdale,Stuyvesant Heights,1,1.0,$35.5,11.7,UberX,Cash
53,2024-06-01 00:00:00,1899-12-30 01:49:56,Brownsville,Grymes Hill/Clifton,1,1.0,$56.3,19.31,Uber Black,Uber Pay
54,2024-06-01 00:00:00,1899-12-30 01:19:28,Times Sq/Theatre District,Central Harlem North,1,1.0,$21.0,4.95,UberX,Uber Pay
55,2024-06-01 00:00:00,1899-12-30 01:12:48,Far Rockaway,Rockaway Park,2,1.0,$15.5,4.02,Uber Black,Cash
56,2024-06-01 00:00:00,1899-12-30 01:49:41,NV,NV,1,1.0,$11.5,2.5,UberXL,Cash
57,2024-06-01 00:00:00,1899-12-30 01:47:02,Garment District,Greenwich Village South,1,1.0,$16.4,2.6,UberX,Uber Pay
58,2024-06-01 00:00:00,1899-12-30 01:13:13,Lower East Side,Park Slope,4,1.0,$15.2,3.27,UberX,Uber Pay
59,2024-06-01 00:00:00,1899-12-30 01:35:07,Little Italy/NoLiTa,Downtown Brooklyn/MetroTech,2,1.0,$34.0,6.25,Uber Comfort,Cash
60,2024-06-01 00:00:00,1899-12-30 01:17:15,Chinatown,Woodside,1,1.0,$24.5,7.9,UberX,Cash
61,2024-06-01 00:00:00,1899-12-30 01:09:59,Little Italy/NoLiTa,Penn Station/Madison Sq West,1,1.0,$10.0,2.2,Uber Green,Cash
62,2024-06-01 00:00:00,1899-12-30 02:06:06,Kips Bay,Van Cortlandt Village,1,1.0,$32.0,11.59,UberX,Cash
63,2024-06-01 00:00:00,1899-12-30 02:51:42,Murray Hill,Greenwich Village South,1,1.0,$8.0,1.86,UberX,Cash
64,2024-06-01 00:00:00,1899-12-30 02:25:45,Union Sq,Sutton Place/Turtle Bay North,2,1.0,$14.1,2.48,Uber Black,Uber Pay
65,2024-06-01 00:00:00,1899-12-30 02:03:30,Sutton Place/Turtle Bay North,Jackson Heights,1,1.0,$21.0,5.7,UberX,Cash
66,2024-06-01 00:00:00,1899-12-30 02:25:48,Greenwich Village North,Clinton East,1,1.0,$13.0,3.05,Uber Green,Uber Pay
67,2024-06-01 00:00:00,1899-12-30 02:15:54,Greenwich Village South,Midtown South,2,1.0,$5.5,1.22,Uber Green,Cash
68,2024-06-01 00:00:00,1899-12-30 02:26:51,Murray Hill,Murray Hill,2,1.0,$17.5,3.71,Uber Green,Cash
69,2024-06-01 00:00:00,1899-12-30 02:37:23,Penn Station/Madison Sq West,Hillcrest/Pomonok,5,1.0,$31.5,11.12,Uber Comfort,Cash
70,2024-06-01 00:00:00,1899-12-30 02:56:08,Downtown Brooklyn/MetroTech,Midwood,1,1.0,$22.0,6.04,Uber Comfort,Uber Pay
71,2024-06-01 00:00:00,1899-12-30 02:00:59,Fort Greene,Penn Station/Madison Sq West,1,1.0,$18.5,5.38,UberX,Cash
72,2024-06-01 00:00:00,1899-12-30 02:10:13,East Harlem North,Union Sq,6,1.0,$19.0,5.9,Uber Green,Cash
73,2024-06-01 00:00:00,1899-12-30 02:01:56,Yorkville West,Times Sq/Theatre District,2,1.0,$10.5,2.3,UberX,Uber Pay
74,2024-06-01 00:00:00,1899-12-30 02:36:12,Flushing,College Point,1,1.0,$10.0,2.4,Uber Black,Cash
75,2024-06-01 00:00:00,1899-12-30 03:56:24,East Harlem North,Financial District South,1,1.0,$27.0,9.4,UberX,Uber Pay
76,2024-06-01 00:00:00,1899-12-30 03:55:57,Upper West Side North,Lincoln Square West,1,1.0,$8.0,2,UberX,Cash
77,2024-06-01 00:00:00,1899-12-30 03:59:44,East Village,Mott Haven/Port Morris,1,1.0,$24.5,8.3,UberX,Cash
78,2024-06-01 00:00:00,1899-12-30 03:04:27,Upper West Side North,Bayside,1,1.0,$43.0,15.87,Uber Comfort,Uber Pay
79,2024-06-01 00:00:00,1899-12-30 03:30:42,Flatiron,Central Park,1,1.0,$15.5,5.05,UberX,Cash
80,2024-06-01 00:00:00,1899-12-30 03:28:01,Yorkville East,Kips Bay,2,1.0,$15.2,3.54,Uber Green,Uber Pay
81,2024-06-01 00:00:00,1899-12-30 03:37:34,Clinton East,Flatiron,1,1.0,$8.5,1.8,Uber Black,Uber Pay
82,2024-06-01 00:00:00,1899-12-30 03:44:06,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,1,1.0,$7.0,1.38,UberX,Cash
83,2024-06-01 00:00:00,1899-12-30 03:18:00,Penn Station/Madison Sq West,Clinton East,1,1.0,$6.5,1.41,UberXL,Cash
84,2024-06-01 00:00:00,1899-12-30 03:54:57,Upper West Side South,Lincoln Square East,1,1.0,$7.0,1.23,UberX,Cash
85,2024-06-01 00:00:00,1899-12-30 03:14:20,Mott Haven/Port Morris,East New York,2,1.0,$45.0,16.77,UberX,Cash
86,2024-06-01 00:00:00,1899-12-30 03:10:46,East Village,East Flatbush/Remsen Village,1,1.0,$27.5,8.3,UberX,Cash
87,2024-06-01 00:00:00,1899-12-30 03:46:48,East Harlem South,Central Harlem North,2,1.0,$11.5,3.1,UberX,Cash
88,2024-06-01 00:00:00,1899-12-30 04:34:48,Chinatown,Murray Hill,1,1.0,$13.5,2.61,Uber Comfort,Uber Pay
89,2024-06-01 00:00:00,1899-12-30 04:04:39,Greenwich Village South,Claremont/Bathgate,2,1.0,$38.5,13.15,UberX,Cash
90,2024-06-01 00:00:00,1899-12-30 04:55:19,Washington Heights South,Central Harlem,2,1.0,$10.5,2.85,Uber Black,Cash
91,2024-06-01 00:00:00,1899-12-30 04:38:47,Upper West Side North,Mott Haven/Port Morris,1,1.0,$15.0,4.2,UberX,Uber Pay
92,2024-06-01 00:00:00,1899-12-30 04:08:49,Penn Station/Madison Sq West,Lower East Side,1,1.0,$13.5,3.45,UberXL,Cash
93,2024-06-01 00:00:00,1899-12-30 04:19:05,Central Harlem North,East Harlem North,1,1.0,$8.0,1.8,UberX,Cash
94,2024-06-01 00:00:00,1899-12-30 04:10:56,Forest Hills,JFK Airport,1,1.0,$27.0,8.7,UberX,Cash
95,2024-06-01 00:00:00,1899-12-30 03:57:53,Briarwood/Jamaica Hills,East New York/Pennsylvania Avenue,1,1.0,$25.5,8.8,Uber Comfort,Uber Pay
96,2024-06-01 00:00:00,1899-12-30 04:11:28,Kips Bay,East Tremont,1,1.0,$31.0,10.83,UberX,Uber Pay
97,2024-06-01 00:00:00,1899-12-30 05:13:59,Upper West Side South,Upper East Side North,1,1.0,$7.5,1.3,UberX,Cash
98,2024-06-01 00:00:00,1899-12-30 05:56:07,Upper West Side North,East Harlem South,1,1.0,$6.9,1.1,Uber Green,Uber Pay
99,2024-06-01 00:00:00,1899-12-30 05:30:43,Manhattan Valley,East Chelsea,6,1.0,$16.0,5.02,UberX,Cash
100,2024-06-01 00:00:00,1899-12-30 05:32:11,Midtown South,Lenox Hill East,1,1.0,$13.4,2.52,UberX,Uber Pay
101,2024-06-01 00:00:00,1899-12-30 05:29:40,Penn Station/Madison Sq West,Midtown North,1,1.0,$11.0,1.8,Uber Black,Uber Pay
102,2024-06-01 00:00:00,1899-12-30 05:30:16,Penn Station/Madison Sq West,Midtown East,2,1.0,$9.8,1.65,UberX,Uber Pay
103,2024-06-01 00:00:00,1899-12-30 05:20:27,JFK Airport,Forest Hills,1,1.0,$26.0,8.95,UberX,Cash
104,2024-06-01 00:00:00,1899-12-30 05:24:08,Penn Station/Madison Sq West,Midtown Center,3,1.0,$7.8,1.15,Uber Black,Uber Pay
105,2024-06-01 00:00:00,1899-12-30 05:27:37,Gramercy,Financial District South,1,1.0,$14.5,4.2,UberX,Cash
106,2024-06-01 00:00:00,1899-12-30 05:41:12,East Harlem North,Yorkville West,1,1.0,$5.0,1.05,Uber Green,Cash
107,2024-06-01 00:00:00,1899-12-30 05:46:24,Lincoln Square East,Lenox Hill East,1,1.0,$9.2,1.62,UberX,Uber Pay
108,2024-06-01 00:00:00,1899-12-30 05:20:34,Sutton Place/Turtle Bay North,Upper East Side South,4,1.0,$7.0,1.56,Uber Comfort,Cash
109,2024-06-01 00:00:00,1899-12-30 05:53:34,Upper West Side North,Mott Haven/Port Morris,1,1.0,$20.5,4.7,Uber Green,Uber Pay
110,2024-06-01 00:00:00,1899-12-30 05:47:47,JFK Airport,Stuyvesant Heights,1,1.0,$29.5,10.1,UberX,Cash
111,2024-06-01 00:00:00,1899-12-30 05:24:17,East Harlem South,Central Harlem,1,1.0,$6.0,1.2,UberX,Cash
112,2024-06-01 00:00:00,1899-12-30 05:19:56,East Chelsea,Washington Heights South,1,1.0,$23.5,7.1,UberX,Uber Pay
113,2024-06-01 00:00:00,1899-12-30 05:47:25,Upper West Side North,East Harlem South,5,1.0,$8.5,2,Uber Comfort,Cash
114,2024-06-01 00:00:00,1899-12-30 05:26:46,Garment District,Central Harlem North,1,1.0,$24.0,7.7,UberX,Cash
115,2024-06-01 00:00:00,1899-12-30 05:20:42,Lincoln Square West,Clinton East,1,1.0,$7.5,1.59,Uber Black,Cash
116,2024-06-01 00:00:00,1899-12-30 05:40:23,Lenox Hill East,East Harlem South,1,1.0,$8.6,1.56,Uber Black,Uber Pay
117,2024-06-01 00:00:00,1899-12-30 05:53:55,Times Sq/Theatre District,East Village,1,1.0,$13.0,3.73,Uber Comfort,Cash
118,2024-06-01 00:00:00,1899-12-30 05:38:18,Garment District,Upper East Side North,1,1.0,$15.5,3.3,UberX,Uber Pay
119,2024-06-01 00:00:00,1899-12-30 05:41:43,East Harlem South,East Chelsea,2,1.0,$16.0,4.89,UberX,Uber Pay
120,2024-06-01 00:00:00,1899-12-30 05:58:48,Penn Station/Madison Sq West,Lenox Hill East,1,1.0,$12.0,3.2,Uber Green,Uber Pay
121,2024-06-01 00:00:00,1899-12-30 04:59:28,Lincoln Square East,Kips Bay,1,1.0,$11.5,3.09,UberX,Cash
122,2024-06-01 00:00:00,1899-12-30 05:58:05,Clinton East,Union Sq,1,1.0,$6.5,1.46,UberXL,Cash
123,2024-06-01 00:00:00,1899-12-30 05:33:43,Lenox Hill East,Times Sq/Theatre District,1,1.0,$8.5,2.01,Uber Green,Cash
124,2024-06-01 00:00:00,1899-12-30 05:33:48,Mott Haven/Port Morris,Mount Hope,3,1.0,$13.5,4.1,UberX,Cash
125,2024-06-01 00:00:00,1899-12-30 05:26:01,Kips Bay,Penn Station/Madison Sq West,1,1.0,$8.0,1.47,UberX,Cash
126,2024-06-01 00:00:00,1899-12-30 04:58:40,Clinton East,Flatiron,1,1.0,$6.5,1.35,UberX,Cash
127,2024-06-01 00:00:00,1899-12-30 05:24:54,Lincoln Square West,Manhattan Valley,1,1.0,$11.6,2.28,UberX,Uber Pay
128,2024-06-01 00:00:00,1899-12-30 05:57:26,Garment District,Midtown East,1,1.0,$7.5,1.7,Uber Black,Uber Pay
129,2024-06-01 00:00:00,1899-12-30 05:43:54,Lincoln Square West,East Harlem South,1,1.0,$13.6,3.24,Uber Black,Uber Pay
130,2024-06-01 00:00:00,1899-12-30 05:49:21,East Harlem South,Lenox Hill West,1,1.0,$11.5,1.7,UberXL,Uber Pay
131,2024-06-01 00:00:00,1899-12-30 05:19:46,JFK Airport,Sunnyside,1,1.0,$56.7,17.73,UberX,Uber Pay
132,2024-06-01 00:00:00,1899-12-30 05:59:50,Penn Station/Madison Sq West,Murray Hill,1,1.0,$6.5,1.37,Uber Comfort,Cash
133,2024-06-01 00:00:00,1899-12-30 05:58:01,JFK Airport,Hollis,1,1.0,$36.3,10.48,UberXL,Uber Pay
134,2024-06-01 00:00:00,1899-12-30 06:32:40,Upper West Side North,Lenox Hill West,1,1.0,$12.6,2.7,UberX,Uber Pay
135,2024-06-01 00:00:00,1899-12-30 06:40:53,Central Harlem North,Central Harlem,1,1.0,$5.5,1.12,UberX,Cash
136,2024-06-01 00:00:00,1899-12-30 06:29:42,Penn Station/Madison Sq West,Midtown Center,1,1.0,$6.5,1.3,Uber Comfort,Cash
137,2024-06-01 00:00:00,1899-12-30 06:57:21,Yorkville West,Midtown East,1,1.0,$9.0,1.7,UberXL,Uber Pay
138,2024-06-01 00:00:00,1899-12-30 06:48:04,Greenwich Village North,East Chelsea,1,1.0,$7.5,1.8,Uber Green,Cash
139,2024-06-01 00:00:00,1899-12-30 06:17:53,Penn Station/Madison Sq West,Gramercy,1,1.0,$10.9,1.9,UberX,Uber Pay
140,2024-06-01 00:00:00,1899-12-30 07:41:37,Central Park,Lenox Hill East,1,1.0,$11.5,2.27,UberX,Uber Pay
141,2024-06-01 00:00:00,1899-12-30 06:09:07,Bloomingdale,Central Harlem,1,1.0,$12.0,1.25,UberXL,Cash
142,2024-06-01 00:00:00,1899-12-30 06:32:50,Central Park,Lenox Hill East,1,1.0,$10.5,2.79,UberX,Cash
143,2024-06-01 00:00:00,1899-12-30 06:07:41,East Village,Williamsburg (South Side),1,1.0,$12.5,3.16,UberX,Cash
144,2024-06-01 00:00:00,1899-12-30 06:45:46,East Village,Garment District,1,1.0,$10.5,2.72,Uber Green,Cash
145,2024-06-01 00:00:00,1899-12-30 06:49:12,East Harlem South,Manhattan Valley,1,1.0,$6.5,1.32,UberX,Uber Pay
146,2024-06-01 00:00:00,1899-12-30 06:10:25,TriBeCa/Civic Center,UN/Turtle Bay South,1,1.0,$16.9,3.5,Uber Black,Uber Pay
147,2024-06-01 00:00:00,1899-12-30 06:40:06,Lincoln Square East,Upper East Side North,1,1.0,$7.5,1.94,UberX,Cash
148,2024-06-01 00:00:00,1899-12-30 06:11:23,Kips Bay,Alphabet City,1,1.0,$7.5,1.7,UberX,Cash
149,2024-06-01 00:00:00,1899-12-30 05:57:48,Penn Station/Madison Sq West,Times Sq/Theatre District,1,1.0,$9.0,1.4,UberXL,Uber Pay
150,2024-06-01 00:00:00,1899-12-30 06:55:34,Flatiron,TriBeCa/Civic Center,1,1.0,$12.7,2.47,UberX,Uber Pay
151,2024-06-01 00:00:00,1899-12-30 06:06:57,Lincoln Square West,South Beach/Dongan Hills,1,1.0,$66.1,18.93,Uber Green,Uber Pay
152,2024-06-01 00:00:00,1899-12-30 06:22:54,Midtown North,Flushing Meadows-Corona Park,1,1.0,$35.0,11.9,UberX,Cash
153,2024-06-01 00:00:00,1899-12-30 06:57:07,Lenox Hill East,East Harlem South,1,1.0,$10.0,1.6,Uber Black,Uber Pay
154,2024-06-01 00:00:00,1899-12-30 06:56:48,Midtown East,Upper East Side North,2,1.0,$9.4,1.52,UberXL,Uber Pay
155,2024-06-01 00:00:00,1899-12-30 06:56:30,Lenox Hill East,UN/Turtle Bay South,4,1.0,$9.7,1.67,Uber Green,Uber Pay
156,2024-06-01 00:00:00,1899-12-30 06:30:17,Yorkville East,Sunnyside,1,1.0,$17.5,4.51,UberX,Uber Pay
157,2024-06-01 00:00:00,1899-12-30 06:25:45,Upper West Side North,Murray Hill,1,1.0,$17.1,3.44,Uber Green,Uber Pay
158,2024-06-01 00:00:00,1899-12-30 06:00:40,Midtown East,West Chelsea/Hudson Yards,1,1.0,$6.5,1.2,UberXL,Cash
159,2024-06-01 00:00:00,1899-12-30 06:37:38,Upper East Side South,Murray Hill,1,1.0,$7.5,2,UberXL,Cash
160,2024-06-01 00:00:00,1899-12-30 06:42:11,Upper East Side North,Clinton West,1,1.0,$15.7,3.41,UberX,Uber Pay
161,2024-06-01 00:00:00,1899-12-30 06:26:15,Lower East Side,Kips Bay,1,1.0,$10.3,1.7,Uber Green,Uber Pay
162,2024-06-01 00:00:00,1899-12-30 06:57:58,East Harlem South,Morningside Heights,1,1.0,$9.5,1.74,UberX,Cash
163,2024-06-01 00:00:00,1899-12-30 06:34:02,East Village,Kips Bay,1,1.0,$6.7,1.11,UberX,Uber Pay
164,2024-06-01 00:00:00,1899-12-30 06:26:11,Lincoln Square East,Midtown Center,1,1.0,$8.5,2.12,UberX,Cash
165,2024-06-01 00:00:00,1899-12-30 06:20:51,UN/Turtle Bay South,Lenox Hill East,1,1.0,$9.1,1.83,UberXL,Uber Pay
166,2024-06-01 00:00:00,1899-12-30 06:37:30,Penn Station/Madison Sq West,Midtown East,1,1.0,$10.3,1.93,UberX,Uber Pay
167,2024-06-01 00:00:00,1899-12-30 06:03:59,Garment District,Kips Bay,2,1.0,$8.5,1.64,Uber Black,Cash
168,2024-06-01 00:00:00,1899-12-30 06:22:28,Murray Hill,Midtown Center,2,1.0,$6.7,1.01,UberX,Uber Pay
169,2024-06-01 00:00:00,1899-12-30 06:42:35,Yorkville East,UN/Turtle Bay South,1,1.0,$12.0,2.4,Uber Green,Uber Pay
170,2024-06-01 00:00:00,1899-12-30 06:49:56,UN/Turtle Bay South,Woodside,1,1.0,$18.5,4.84,Uber Black,Cash
171,2024-06-01 00:00:00,1899-12-30 06:53:59,Central Park,Lenox Hill East,1,1.0,$16.3,2.9,UberX,Uber Pay
172,2024-06-01 00:00:00,1899-12-30 06:44:37,Upper West Side North,Meatpacking/West Village West,1,1.0,$22.5,5.28,UberX,Uber Pay
173,2024-06-01 00:00:00,1899-12-30 06:37:52,JFK Airport,Clinton Hill,1,1.0,$40.4,11.68,UberX,Uber Pay
174,2024-06-01 00:00:00,1899-12-30 06:00:41,Morningside Heights,Yorkville East,1,1.0,$13.0,3.3,UberX,Uber Pay
175,2024-06-01 00:00:00,1899-12-30 06:29:50,Midtown East,East Harlem South,1,1.0,$12.5,2.9,Uber Black,Uber Pay
176,2024-06-01 00:00:00,1899-12-30 06:22:47,Clinton East,Midtown East,1,1.0,$8.0,1.4,Uber Comfort,Uber Pay
177,2024-06-01 00:00:00,1899-12-30 06:33:27,Midtown Center,Two Bridges/Seward Park,1,1.0,$15.8,3.32,Uber Black,Uber Pay
178,2024-06-01 00:00:00,1899-12-30 06:54:48,Gramercy,Lenox Hill East,1,1.0,$9.0,2.73,UberX,Cash
179,2024-06-01 00:00:00,1899-12-30 06:14:16,Lincoln Square East,Kips Bay,3,1.0,$16.9,3.42,Uber Black,Uber Pay
180,2024-06-01 00:00:00,1899-12-30 06:54:02,NV,Midtown Center,1,1.0,$6.0,1.1,UberX,Amazon Pay
181,2024-06-01 00:00:00,1899-12-30 06:56:03,Yorkville West,Lenox Hill East,3,1.0,$7.0,1.3,UberX,Cash
182,2024-06-01 00:00:00,1899-12-30 06:59:07,Lenox Hill East,East Harlem South,1,1.0,$9.7,1.84,UberX,Uber Pay
183,2024-06-01 00:00:00,1899-12-30 06:55:52,Central Harlem,East Harlem South,1,1.0,$10.0,2,UberX,Cash
184,2024-06-01 00:00:00,1899-12-30 06:24:58,Midtown South,Midtown Center,1,1.0,$5.5,1.09,Uber Comfort,Cash
185,2024-06-01 00:00:00,1899-12-30 06:34:01,Greenwich Village South,Boerum Hill,1,1.0,$15.5,3.72,Uber Black,Cash
186,2024-06-01 00:00:00,1899-12-30 06:43:10,Upper East Side North,UN/Turtle Bay South,1,1.0,$15.7,3.51,Uber Black,Uber Pay
187,2024-06-01 00:00:00,1899-12-30 06:26:44,Lincoln Square East,Kips Bay,6,1.0,$12.0,3.06,UberX,Cash
188,2024-06-01 00:00:00,1899-12-30 05:58:59,Central Harlem North,Pelham Parkway,1,1.0,$33.5,10.58,UberX,Cash
189,2024-06-01 00:00:00,1899-12-30 06:33:11,Midtown East,Upper East Side South,1,1.0,$9.5,1.54,UberX,Uber Pay
190,2024-06-01 00:00:00,1899-12-30 06:46:56,Penn Station/Madison Sq West,Kips Bay,2,1.0,$7.0,1.39,UberX,Cash
191,2024-06-01 00:00:00,1899-12-30 06:36:56,Upper East Side North,Lincoln Square East,1,1.0,$11.5,2.6,UberX,Uber Pay
192,2024-06-01 00:00:00,1899-12-30 06:52:37,Upper West Side North,East Chelsea,1,1.0,$9.5,2.7,UberX,Cash
193,2024-06-01 00:00:00,1899-12-30 06:19:21,Penn Station/Madison Sq West,Midtown Center,1,1.0,$5.5,1.02,Uber Black,Cash
194,2024-06-01 00:00:00,1899-12-30 06:51:14,Upper West Side South,Morningside Heights,1,1.0,$7.9,1.47,Uber Green,Uber Pay
195,2024-06-01 00:00:00,1899-12-30 06:00:13,NV,Midtown East,1,1.0,$10.3,2,UberX,Uber Pay
196,2024-06-01 00:00:00,1899-12-30 06:30:37,Sutton Place/Turtle Bay North,Greenwich Village North,1,1.0,$15.1,3,Uber Black,Uber Pay
197,2024-06-01 00:00:00,1899-12-30 06:30:58,Times Sq/Theatre District,SoHo,1,1.0,$10.5,2.7,UberX,Uber Pay
198,2024-06-01 00:00:00,1899-12-30 06:36:56,East Chelsea,Midtown Center,1,1.0,$8.0,1.8,Uber Green,Cash
